id,oxy_A,oxy_B
1,0.7670067423940423,0.02172413002992868
2,1.4544814097211503,2.195695138381878
3,7.3262373536540855,7.132884383868036
4,0.6560027379584827,0.8434098892877147
5,4.596252461990813,5.015301042776092
6,3.7085194088004827,3.460804324708418
7,2.4439393067858304,2.7359472559859914
8,3.451234980870443,3.629468163321626
9,2.0885191606358204,3.713548835718145
10,2.7416136219768052,2.4494766395883327
11,2.5847194961137068,2.697535909287959
12,2.906569683558394,3.7606024418509425
13,3.471341077254411,3.4230349713059005
14,2.7068060588298346,3.4981438844391586
15,1.6049008172917953,1.6709225079686463
16,1.3124282457093015,0.5341897072839938
17,2.0109530305989156,0.9317991357162382
18,2.2541172964796,2.808006289091561
19,1.7342732627937432,1.150491128376084
20,4.3847571147106965,5.204097594169628
21,7.901230414800091,8.665723609035092
22,3.4354973357656786,3.937491337054669
23,4.568425836819015,4.291587135631864
24,2.098670412081336,1.8313898591086344
25,3.4678322645087145,3.215494332311582
26,0.9392193527865322,0.6277272392784022
27,6.992827413291885,6.3512891845131865
28,4.33579635701866,4.190991668000836
29,0,0
30,0,0
31,0,0
32,1.057205759595177,1.0646067245662374
33,1.9862293869112655,2.6490113812266793
34,2.478046202885781,1.6949335872203792
35,0.42420436624336755,0.08737260647355538
36,0,1.3464968136143787
37,4.498257369705308,4.7750004454293125
38,3.752054480583823,5.440648609426791
39,4.411759917631513,2.1195097200371555
40,3.3022899758897934,3.197938179302819
41,2.940013421871105,2.860291898907957
42,0,0
43,0.4593947366981682,0.5430089942511038
44,1.447235784022869,1.6930366332075195
45,0.31910795654850016,0.841008193461304
46,5.406206729204462,5.959741522762909
47,0,0
48,0,0
49,4.051577099892945,2.526654458689489
50,0.911249793451054,0
51,3.453148628778686,5.010987784164858
52,4.814873800369481,4.742759808396395
53,2.416104290804966,2.521428242307024
54,1.688097786588118,2.076873405197472
55,4.8584648692233134,5.573479404370235
56,1.655885908153507,3.383522299210648
57,1.903119596146478,3.0641911574556575
58,1.4592747751906088,1.0467651774130158
59,4.912098231815431,5.196431172508961
60,5.774173481151706,5.328337302614325
61,3.86993671478118,1.9849529359097096
62,1.0819860187672772,1.0050058718913086
63,2.5634246757449826,2.6045969067139163
64,6.213749325006067,4.8605838858597465
65,2.5299640821072993,2.3551762933851723
66,3.47650607199866,3.940762108507167
67,0,0.11851263085720709
68,4.541323303052929,3.4727102512886496
69,2.080227824172434,2.721086859453257
70,4.28701796261104,3.8176848480311656
71,2.8837920101175154,3.7833065993388204
72,3.3983435287356256,3.342445883056823
73,4.8865477047517105,3.2083280642850935
74,2.72166302673343,3.184265820325294
75,3.2597873453378203,3.6016309341917396
76,3.002700899437645,2.7583613825030886
77,6.133417369035863,6.7692995653417185
78,6.285105152789953,5.0631111640604844
79,3.5004890371395976,3.9357063196092668
80,3.2288780285102785,3.8604368529525424
81,3.5295090793905146,3.7695929010983757
82,2.034294633661398,1.619550081613861
83,5.718704910912577,5.959910109362729
84,1.9127969850960536,1.1889995059598109
85,6.053895027859145,5.421052284282922
86,7.616702050460084,4.547978257176536
87,2.531701557238191,4.310349150124293
88,0.911290591674792,0.6911940351568726
89,3.768628686477375,3.2740466887718283
90,1.4407800558197432,2.005333791164211
91,2.97861596941933,3.931073123797071
92,3.501299904547735,3.8853166984263536
93,2.0012591337680385,1.245673124380066
94,3.8014257310067188,3.182930389070143
95,4.688340767247215,5.519741245412697
96,1.002934389974242,1.8054687648371077
97,2.7755567698495147,2.8605737030782024
98,2.1824890941289827,2.5509390652664408
99,1.6802831681184842,2.4111603812956783
100,3.232139638556858,4.459849524153579
101,7.956481397339188,8.405045850020866
102,3.1493385010654205,3.2687761322623885
103,8.784779054806274,10.428814341622159
104,3.281441218455962,2.656227282532538
105,4.323785185713413,2.8276193378860173
106,4.900092370611905,4.561048856501541
107,0.5012695184866995,0.6392653770534784
108,2.00693555865832,3.839233395021958
109,4.686511330067499,3.888087871835406
110,7.257139544898066,7.428560944671071
111,0,0.5326213791266503
112,1.0758750488762034,0
113,2.2357425755170284,1.9996198682830475
114,3.217491980822996,4.047605088143991
115,1.436483799035808,2.720449234104377
116,0,0
117,1.2501075198201719,0.3081666544356263
118,3.508541765024618,3.0377182193985135
119,0,1.3867635481651746
120,0,0
121,3.6232621826847415,4.55793533692104
122,4.556730754250623,3.61289972679001
123,0.9401433673649989,1.4249320007672268
124,5.5484117872876695,4.889996029222603
125,2.191771859381695,1.430447399367924
126,4.241204672435268,3.48606392813376
127,3.9505406829670635,3.339938972908929
128,2.6625682040142356,3.2942226621550694
129,6.257729437675712,6.407839333574721
130,5.033951041197219,3.6691785026100354
131,0.818689899801795,1.975531783080024
132,3.8504608846749924,4.286424693227846
133,0,0
134,4.256188707344023,3.537955341057737
135,3.8112527429176555,4.09577394772223
136,1.4339219244873072,0.8539051228001933
137,2.067322401228364,2.6214055671962107
138,6.455786967051525,5.290377965263873
139,0.3876089737616395,0.8564702340155086
